collection_id,application_id,collection_agent,collection_date,outstanding_amount,collection_status,collection_mode,promise_to_pay_date,settlement_amount,settlement_status,follow_up_count,last_follow_up_date,remarks
COL10015,APP11099,Vikramaditya Singh (Internal),2025-02-25,127115.69,Contacted,Digital Reminder,,,Pending,9,2025-02-23,Customer contacted via Digital Reminder. Payment request sent.
COL10016,APP12930,Anita Roy (Internal),2025-06-18,122060.34,Repossession Pending,Legal Notice,,,Pending,3,2025-06-10,Asset recovery team assigned for asset repossession proceedings.
COL10017,APP10591,Rajesh Sharma (Internal),2025-06-07,86580.0,Settled,WhatsApp Bot,2025-06-02,78554.32,Full Settlement,5,2025-06-04,Loan settled at ₹78554.32 under Full Settlement arrangement.
COL10018,APP12987,Anita Roy (Internal),2024-10-07,23902.23,Contacted,Digital Reminder,,,Pending,3,2024-09-27,Customer contacted via Digital Reminder. Payment request sent.
COL10019,APP11224,Suresh Kumar (Field Specialist),2025-01-03,49587.46,Settled,Field Visit,2024-12-25,47023.9,Partial Settlement,9,2024-12-31,Loan settled at ₹47023.9 under Partial Settlement arrangement.
COL10020,APP11102,Zenith Financial Recovery,2025-05-13,5548.05,Unreachable,WhatsApp Bot,,,Pending,1,2025-05-04,Borrower unreachable on registered phone number. Escalated to field team.
COL10021,APP10256,Priya Deshmukh (Internal),2024-07-31,7449.25,Promise to Pay,WhatsApp Bot,2024-08-04,,Pending,4,2024-07-30,Borrower promised to pay ₹7449.25 by 2024-08-04.
COL10022,APP11458,Anita Roy (Internal),2025-12-05,12115.75,Promise to Pay,WhatsApp Bot,2025-12-23,,Pending,3,2025-11-26,Borrower promised to pay ₹12115.75 by 2025-12-23.
COL10023,APP11254,Zenith Financial Recovery,2025-05-29,13487.78,Promise to Pay,Digital Reminder,2025-06-15,,Pending,7,2025-05-23,Borrower promised to pay ₹13487.78 by 2025-06-15.
COL10024,APP11238,Anita Roy (Internal),2024-09-20,64680.2,Unreachable,Tele-calling,,,Pending,4,2024-09-17,Borrower unreachable on registered phone number. Escalated to field team.
COL10025,APP11152,Suresh Kumar (Field Specialist),2025-02-11,27234.93,Promise to Pay,Digital Reminder,2025-03-03,,Pending,2,2025-02-04,Borrower promised to pay ₹27234.93 by 2025-03-03.
COL10026,APP10021,Rajesh Sharma (Internal),2025-01-29,99184.58,Contacted,WhatsApp Bot,,,Pending,3,2025-01-23,Customer contacted via WhatsApp Bot. Payment request sent.
COL10027,APP12716,Zenith Financial Recovery,2024-06-03,42770.41,Unreachable,Field Visit,,,Pending,7,2024-05-30,Borrower unreachable on registered phone number. Escalated to field team.
COL10028,APP10509,Apex Recovery Agency,2025-12-22,12447.05,Repossession Pending,Digital Reminder,,,Pending,11,2025-12-15,Asset recovery team assigned for asset repossession proceedings.
COL10029,APP10856,Priya Deshmukh (Internal),2025-12-08,15195.44,Promise to Pay,Legal Notice,2025-12-12,,Pending,1,2025-12-03,Borrower promised to pay ₹15195.44 by 2025-12-12.
COL10030,APP10340,Meenakshi Sundaram (Legal Agent),2024-07-29,23917.36,Legal Action Initiated,Digital Reminder,,,Rejected,9,2024-07-28,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10031,APP11773,Anita Roy (Internal),2024-10-01,217076.96,Contacted,WhatsApp Bot,,,Pending,10,2024-09-28,Customer contacted via WhatsApp Bot. Payment request sent.
COL10032,APP10862,Meenakshi Sundaram (Legal Agent),2025-04-20,164580.18,Unreachable,Tele-calling,,,Pending,5,2025-04-17,Borrower unreachable on registered phone number. Escalated to field team.
COL10033,APP10535,Priya Deshmukh (Internal),2025-09-12,20128.77,Unreachable,Legal Notice,,,Pending,6,2025-09-11,Borrower unreachable on registered phone number. Escalated to field team.
COL10034,APP11191,Zenith Financial Recovery,2025-01-05,5477.71,Legal Action Initiated,WhatsApp Bot,,,Rejected,9,2025-01-01,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10035,APP11311,Prudence Resolution Services,2025-12-09,48699.54,Promise to Pay,Tele-calling,2025-12-28,,Pending,12,2025-12-05,Borrower promised to pay ₹48699.54 by 2025-12-28.
COL10036,APP12815,Suresh Kumar (Field Specialist),2025-02-26,12728.37,Repossession Pending,Legal Notice,,,Pending,2,2025-02-25,Asset recovery team assigned for asset repossession proceedings.
COL10037,APP11950,Vikramaditya Singh (Internal),2024-12-26,131253.06,Settled,Legal Notice,2024-12-17,101194.29,Waived Off,11,2024-12-16,Loan settled at ₹101194.29 under Waived Off arrangement.
COL10038,APP12149,Anita Roy (Internal),2024-10-12,28989.64,Settled,Digital Reminder,2024-10-05,21876.81,Waived Off,11,2024-10-08,Loan settled at ₹21876.81 under Waived Off arrangement.
COL10039,APP12880,Suresh Kumar (Field Specialist),2024-10-31,139941.26,Contacted,Tele-calling,,,Pending,9,2024-10-31,Customer contacted via Tele-calling. Payment request sent.
COL10040,APP12338,Meenakshi Sundaram (Legal Agent),2025-06-09,127124.68,Promise to Pay,WhatsApp Bot,2025-06-18,,Pending,1,2025-06-04,Borrower promised to pay ₹127124.68 by 2025-06-18.
COL10041,APP10653,Anita Roy (Internal),2024-11-06,74666.24,Legal Action Initiated,Legal Notice,,,Rejected,4,2024-11-04,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10042,APP10180,Vanguard Legal & Recovery Services,2025-07-27,30406.49,Promise to Pay,Tele-calling,2025-08-07,,Pending,11,2025-07-24,Borrower promised to pay ₹30406.49 by 2025-08-07.
COL10043,APP11512,Anita Roy (Internal),2025-09-15,143014.61,Contacted,Digital Reminder,,,Pending,6,2025-09-11,Customer contacted via Digital Reminder. Payment request sent.
COL10044,APP10162,Priya Deshmukh (Internal),2024-08-11,11918.49,Repossession Pending,Tele-calling,,,Pending,5,2024-08-06,Asset recovery team assigned for asset repossession proceedings.
COL10045,APP11418,Vanguard Legal & Recovery Services,2025-02-23,134026.98,Settled,WhatsApp Bot,2025-02-14,85501.29,Full Settlement,3,2025-02-14,Loan settled at ₹85501.29 under Full Settlement arrangement.
COL10046,APP11070,Prudence Resolution Services,2025-06-30,79372.19,Unreachable,Legal Notice,,,Pending,10,2025-06-27,Borrower unreachable on registered phone number. Escalated to field team.
COL10047,APP12990,Rajesh Sharma (Internal),2024-12-19,87413.35,Contacted,Digital Reminder,,,Pending,6,2024-12-13,Customer contacted via Digital Reminder. Payment request sent.
COL10048,APP12805,Prudence Resolution Services,2025-04-04,22986.47,Settled,WhatsApp Bot,2025-03-20,16416.11,Partial Settlement,9,2025-03-31,Loan settled at ₹16416.11 under Partial Settlement arrangement.
COL10049,APP11900,Suresh Kumar (Field Specialist),2024-11-26,24846.98,Promise to Pay,Field Visit,2024-12-08,,Pending,10,2024-11-17,Borrower promised to pay ₹24846.98 by 2024-12-08.
COL10050,APP12757,Suresh Kumar (Field Specialist),2026-01-15,14127.19,Settled,Tele-calling,2026-01-05,10660.73,Partial Settlement,10,2026-01-05,Loan settled at ₹10660.73 under Partial Settlement arrangement.
COL10051,APP11255,Suresh Kumar (Field Specialist),2025-11-10,59051.58,Repossession Pending,Digital Reminder,,,Pending,11,2025-10-31,Asset recovery team assigned for asset repossession proceedings.
COL10052,APP11371,Anita Roy (Internal),2024-10-29,15542.69,Repossession Pending,Field Visit,,,Pending,1,2024-10-29,Asset recovery team assigned for asset repossession proceedings.
COL10053,APP11752,Zenith Financial Recovery,2026-01-11,31232.72,Contacted,WhatsApp Bot,,,Pending,4,2026-01-05,Customer contacted via WhatsApp Bot. Payment request sent.
COL10054,APP10601,Vanguard Legal & Recovery Services,2024-09-18,548980.6,Promise to Pay,Field Visit,2024-09-26,,Pending,7,2024-09-15,Borrower promised to pay ₹548980.6 by 2024-09-26.
COL10055,APP12608,Zenith Financial Recovery,2025-09-11,12188.62,Legal Action Initiated,Tele-calling,,,Rejected,3,2025-09-04,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10056,APP12968,Suresh Kumar (Field Specialist),2025-10-30,55462.77,Settled,WhatsApp Bot,2025-10-18,47713.48,Full Settlement,7,2025-10-22,Loan settled at ₹47713.48 under Full Settlement arrangement.
COL10057,APP12954,Zenith Financial Recovery,2025-11-16,208344.03,Promise to Pay,Legal Notice,2025-11-26,,Pending,8,2025-11-06,Borrower promised to pay ₹208344.03 by 2025-11-26.
COL10058,APP12143,Zenith Financial Recovery,2025-04-24,192185.83,Repossession Pending,Tele-calling,,,Pending,9,2025-04-23,Asset recovery team assigned for asset repossession proceedings.
COL10059,APP12621,Vikramaditya Singh (Internal),2024-08-05,78952.56,Unreachable,Field Visit,,,Pending,7,2024-07-30,Borrower unreachable on registered phone number. Escalated to field team.
COL10060,APP12270,Suresh Kumar (Field Specialist),2025-07-04,19280.46,Unreachable,Digital Reminder,,,Pending,10,2025-07-04,Borrower unreachable on registered phone number. Escalated to field team.
COL10061,APP10909,Zenith Financial Recovery,2025-08-04,18642.6,Settled,Tele-calling,2025-07-21,14371.21,Full Settlement,9,2025-07-27,Loan settled at ₹14371.21 under Full Settlement arrangement.
COL10062,APP11987,Vanguard Legal & Recovery Services,2025-07-20,29279.36,Contacted,Digital Reminder,,,Pending,12,2025-07-18,Customer contacted via Digital Reminder. Payment request sent.
COL10063,APP10497,Vikramaditya Singh (Internal),2025-12-30,16293.6,Legal Action Initiated,WhatsApp Bot,,,Rejected,11,2025-12-30,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10064,APP10066,Vanguard Legal & Recovery Services,2025-05-02,54740.7,Unreachable,Field Visit,,,Pending,4,2025-04-25,Borrower unreachable on registered phone number. Escalated to field team.
COL10065,APP12546,Prudence Resolution Services,2025-02-14,249213.17,Settled,Digital Reminder,2025-02-09,196578.52,Waived Off,2,2025-02-07,Loan settled at ₹196578.52 under Waived Off arrangement.
COL10066,APP10982,Priya Deshmukh (Internal),2025-02-09,76711.99,Repossession Pending,Tele-calling,,,Pending,4,2025-02-09,Asset recovery team assigned for asset repossession proceedings.
COL10067,APP11650,Priya Deshmukh (Internal),2025-01-10,44772.87,Unreachable,Field Visit,,,Pending,8,2025-01-06,Borrower unreachable on registered phone number. Escalated to field team.
COL10068,APP10036,Vikramaditya Singh (Internal),2024-11-15,35182.72,Legal Action Initiated,WhatsApp Bot,,,Rejected,5,2024-11-14,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10069,APP12011,Apex Recovery Agency,2024-12-21,145915.54,Repossession Pending,WhatsApp Bot,,,Pending,2,2024-12-12,Asset recovery team assigned for asset repossession proceedings.
COL10070,APP11254,Anita Roy (Internal),2026-01-01,25308.02,Repossession Pending,Legal Notice,,,Pending,1,2025-12-27,Asset recovery team assigned for asset repossession proceedings.
COL10071,APP12507,Vanguard Legal & Recovery Services,2025-08-05,246999.34,Contacted,Legal Notice,,,Pending,8,2025-08-04,Customer contacted via Legal Notice. Payment request sent.
COL10072,APP12699,Prudence Resolution Services,2025-11-17,87989.35,Repossession Pending,Digital Reminder,,,Pending,11,2025-11-13,Asset recovery team assigned for asset repossession proceedings.
COL10073,APP10714,Zenith Financial Recovery,2025-04-27,105634.64,Unreachable,Digital Reminder,,,Pending,4,2025-04-26,Borrower unreachable on registered phone number. Escalated to field team.
COL10074,APP10538,Zenith Financial Recovery,2025-05-11,58076.06,Unreachable,Field Visit,,,Pending,1,2025-05-04,Borrower unreachable on registered phone number. Escalated to field team.
COL10075,APP11463,Vikramaditya Singh (Internal),2025-03-14,79432.52,Promise to Pay,Digital Reminder,2025-04-03,,Pending,10,2025-03-10,Borrower promised to pay ₹79432.52 by 2025-04-03.
COL10076,APP10619,Suresh Kumar (Field Specialist),2025-12-21,20122.39,Contacted,Field Visit,,,Pending,4,2025-12-14,Customer contacted via Field Visit. Payment request sent.
COL10077,APP11587,Zenith Financial Recovery,2025-02-05,72067.47,Contacted,Tele-calling,,,Pending,5,2025-01-26,Customer contacted via Tele-calling. Payment request sent.
COL10078,APP10036,Zenith Financial Recovery,2025-12-16,20211.0,Legal Action Initiated,WhatsApp Bot,,,Rejected,6,2025-12-11,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10079,APP11318,Apex Recovery Agency,2025-04-20,27733.79,Settled,Legal Notice,2025-04-13,18740.68,Full Settlement,2,2025-04-12,Loan settled at ₹18740.68 under Full Settlement arrangement.
COL10080,APP11310,Apex Recovery Agency,2024-12-16,104488.72,Legal Action Initiated,WhatsApp Bot,,,Rejected,5,2024-12-13,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10081,APP12481,Vikramaditya Singh (Internal),2024-07-17,304097.03,Contacted,Legal Notice,,,Pending,1,2024-07-09,Customer contacted via Legal Notice. Payment request sent.
COL10082,APP10078,Vikramaditya Singh (Internal),2025-09-24,43008.51,Contacted,Digital Reminder,,,Pending,8,2025-09-17,Customer contacted via Digital Reminder. Payment request sent.
COL10083,APP12240,Vikramaditya Singh (Internal),2024-08-06,71767.71,Settled,Tele-calling,2024-07-31,58871.48,Waived Off,7,2024-07-30,Loan settled at ₹58871.48 under Waived Off arrangement.
COL10084,APP10548,Vikramaditya Singh (Internal),2025-02-10,120572.85,Legal Action Initiated,Field Visit,,,Rejected,2,2025-02-02,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10085,APP10968,Meenakshi Sundaram (Legal Agent),2025-09-05,4957.03,Legal Action Initiated,WhatsApp Bot,,,Rejected,8,2025-09-01,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10086,APP12214,Apex Recovery Agency,2024-09-10,11451.17,Legal Action Initiated,WhatsApp Bot,,,Rejected,4,2024-08-31,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10087,APP11292,Apex Recovery Agency,2024-11-08,35590.65,Promise to Pay,Tele-calling,2024-11-25,,Pending,1,2024-11-02,Borrower promised to pay ₹35590.65 by 2024-11-25.
COL10088,APP12793,Apex Recovery Agency,2025-09-08,19127.47,Promise to Pay,Tele-calling,2025-09-18,,Pending,2,2025-08-29,Borrower promised to pay ₹19127.47 by 2025-09-18.
COL10089,APP12883,Meenakshi Sundaram (Legal Agent),2024-10-31,11443.05,Unreachable,Field Visit,,,Pending,5,2024-10-29,Borrower unreachable on registered phone number. Escalated to field team.
COL10090,APP10586,Rajesh Sharma (Internal),2025-03-23,20967.2,Settled,Field Visit,2025-03-11,14811.9,Waived Off,8,2025-03-22,Loan settled at ₹14811.9 under Waived Off arrangement.
COL10091,APP10342,Apex Recovery Agency,2024-07-11,76288.38,Legal Action Initiated,WhatsApp Bot,,,Rejected,7,2024-07-06,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10092,APP12555,Rajesh Sharma (Internal),2026-01-11,48094.04,Promise to Pay,Tele-calling,2026-01-22,,Pending,10,2026-01-11,Borrower promised to pay ₹48094.04 by 2026-01-22.
COL10093,APP12021,Vikramaditya Singh (Internal),2024-12-03,34788.1,Legal Action Initiated,Digital Reminder,,,Rejected,10,2024-11-27,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10094,APP11800,Anita Roy (Internal),2024-09-16,40585.89,Settled,Digital Reminder,2024-09-05,31389.7,Waived Off,3,2024-09-11,Loan settled at ₹31389.7 under Waived Off arrangement.
COL10095,APP12744,Suresh Kumar (Field Specialist),2024-09-27,141737.89,Unreachable,Tele-calling,,,Pending,7,2024-09-19,Borrower unreachable on registered phone number. Escalated to field team.
COL10096,APP12663,Suresh Kumar (Field Specialist),2025-10-24,74103.35,Unreachable,Digital Reminder,,,Pending,11,2025-10-17,Borrower unreachable on registered phone number. Escalated to field team.
COL10097,APP10702,Priya Deshmukh (Internal),2025-10-10,82973.53,Legal Action Initiated,Legal Notice,,,Rejected,2,2025-10-10,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10098,APP11046,Vikramaditya Singh (Internal),2025-01-17,98245.73,Legal Action Initiated,Legal Notice,,,Rejected,2,2025-01-10,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10099,APP11166,Vikramaditya Singh (Internal),2025-07-31,31097.68,Repossession Pending,Digital Reminder,,,Pending,8,2025-07-24,Asset recovery team assigned for asset repossession proceedings.
COL10100,APP12173,Zenith Financial Recovery,2025-11-03,28659.73,Promise to Pay,WhatsApp Bot,2025-11-08,,Pending,12,2025-11-01,Borrower promised to pay ₹28659.73 by 2025-11-08.
COL10101,APP11064,Vanguard Legal & Recovery Services,2025-04-02,21643.18,Legal Action Initiated,Legal Notice,,,Rejected,10,2025-03-24,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10102,APP10546,Vikramaditya Singh (Internal),2025-12-09,98877.21,Legal Action Initiated,Digital Reminder,,,Rejected,7,2025-12-02,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10103,APP10569,Priya Deshmukh (Internal),2025-07-26,37085.15,Legal Action Initiated,Field Visit,,,Rejected,1,2025-07-21,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10104,APP10675,Vanguard Legal & Recovery Services,2024-11-03,23564.57,Repossession Pending,Digital Reminder,,,Pending,8,2024-11-03,Asset recovery team assigned for asset repossession proceedings.
COL10105,APP11737,Suresh Kumar (Field Specialist),2025-08-25,48567.55,Settled,WhatsApp Bot,2025-08-13,41421.09,Full Settlement,2,2025-08-17,Loan settled at ₹41421.09 under Full Settlement arrangement.
COL10106,APP11653,Vikramaditya Singh (Internal),2025-07-13,23181.3,Unreachable,Tele-calling,,,Pending,11,2025-07-12,Borrower unreachable on registered phone number. Escalated to field team.
COL10107,APP11815,Suresh Kumar (Field Specialist),2025-10-13,50697.36,Settled,Digital Reminder,2025-09-29,34584.2,Full Settlement,9,2025-10-13,Loan settled at ₹34584.2 under Full Settlement arrangement.
COL10108,APP12077,Priya Deshmukh (Internal),2024-09-11,70660.54,Unreachable,Tele-calling,,,Pending,8,2024-09-09,Borrower unreachable on registered phone number. Escalated to field team.
COL10109,APP12265,Rajesh Sharma (Internal),2025-06-19,167056.83,Settled,Tele-calling,2025-06-11,124326.72,Waived Off,7,2025-06-17,Loan settled at ₹124326.72 under Waived Off arrangement.
COL10110,APP11660,Vikramaditya Singh (Internal),2025-02-02,17291.9,Contacted,Field Visit,,,Pending,8,2025-01-24,Customer contacted via Field Visit. Payment request sent.
COL10111,APP10017,Priya Deshmukh (Internal),2024-06-10,31350.49,Repossession Pending,Digital Reminder,,,Pending,8,2024-06-06,Asset recovery team assigned for asset repossession proceedings.
COL10112,APP11788,Vikramaditya Singh (Internal),2025-04-03,13504.15,Unreachable,Tele-calling,,,Pending,11,2025-03-28,Borrower unreachable on registered phone number. Escalated to field team.
COL10113,APP12555,Zenith Financial Recovery,2024-09-18,49426.64,Promise to Pay,Legal Notice,2024-10-02,,Pending,4,2024-09-12,Borrower promised to pay ₹49426.64 by 2024-10-02.
COL10114,APP11900,Apex Recovery Agency,2024-07-21,22276.42,Repossession Pending,Tele-calling,,,Pending,10,2024-07-14,Asset recovery team assigned for asset repossession proceedings.
COL10115,APP12864,Priya Deshmukh (Internal),2025-02-12,4519.75,Settled,WhatsApp Bot,2025-01-28,3705.68,Full Settlement,11,2025-02-02,Loan settled at ₹3705.68 under Full Settlement arrangement.
COL10116,APP10226,Apex Recovery Agency,2024-09-01,263616.18,Contacted,Digital Reminder,,,Pending,5,2024-08-27,Customer contacted via Digital Reminder. Payment request sent.
COL10117,APP10551,Vikramaditya Singh (Internal),2025-06-10,29696.15,Promise to Pay,Field Visit,2025-06-21,,Pending,9,2025-06-02,Borrower promised to pay ₹29696.15 by 2025-06-21.
COL10118,APP11780,Apex Recovery Agency,2024-09-26,51632.68,Settled,Digital Reminder,2024-09-19,46523.59,Full Settlement,8,2024-09-25,Loan settled at ₹46523.59 under Full Settlement arrangement.
COL10119,APP10584,Suresh Kumar (Field Specialist),2025-12-02,327839.21,Contacted,Legal Notice,,,Pending,2,2025-11-25,Customer contacted via Legal Notice. Payment request sent.
COL10120,APP10550,Apex Recovery Agency,2024-09-19,67657.89,Unreachable,WhatsApp Bot,,,Pending,11,2024-09-16,Borrower unreachable on registered phone number. Escalated to field team.
COL10121,APP12984,Rajesh Sharma (Internal),2024-08-04,11808.44,Legal Action Initiated,WhatsApp Bot,,,Rejected,11,2024-07-28,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10122,APP11178,Vanguard Legal & Recovery Services,2025-10-18,26838.63,Promise to Pay,Tele-calling,2025-10-28,,Pending,2,2025-10-17,Borrower promised to pay ₹26838.63 by 2025-10-28.
COL10123,APP11897,Vikramaditya Singh (Internal),2025-12-06,37994.56,Unreachable,Digital Reminder,,,Pending,7,2025-11-27,Borrower unreachable on registered phone number. Escalated to field team.
COL10124,APP11666,Vanguard Legal & Recovery Services,2025-03-14,17482.3,Unreachable,Tele-calling,,,Pending,1,2025-03-09,Borrower unreachable on registered phone number. Escalated to field team.
COL10125,APP11305,Zenith Financial Recovery,2025-06-12,45471.56,Promise to Pay,Digital Reminder,2025-06-26,,Pending,9,2025-06-02,Borrower promised to pay ₹45471.56 by 2025-06-26.
COL10126,APP11073,Vanguard Legal & Recovery Services,2025-09-09,45301.98,Promise to Pay,Legal Notice,2025-09-18,,Pending,2,2025-08-30,Borrower promised to pay ₹45301.98 by 2025-09-18.
COL10127,APP11662,Rajesh Sharma (Internal),2024-12-28,48811.01,Promise to Pay,Legal Notice,2025-01-06,,Pending,2,2024-12-20,Borrower promised to pay ₹48811.01 by 2025-01-06.
COL10128,APP10379,Priya Deshmukh (Internal),2025-03-11,64080.97,Promise to Pay,Legal Notice,2025-03-31,,Pending,3,2025-03-09,Borrower promised to pay ₹64080.97 by 2025-03-31.
COL10129,APP11172,Vikramaditya Singh (Internal),2025-06-02,85841.04,Repossession Pending,Tele-calling,,,Pending,4,2025-05-24,Asset recovery team assigned for asset repossession proceedings.
COL10130,APP10699,Rajesh Sharma (Internal),2025-11-21,46626.27,Settled,Field Visit,2025-11-09,40672.37,Partial Settlement,2,2025-11-20,Loan settled at ₹40672.37 under Partial Settlement arrangement.
COL10131,APP12464,Meenakshi Sundaram (Legal Agent),2024-07-15,39164.29,Unreachable,Tele-calling,,,Pending,12,2024-07-05,Borrower unreachable on registered phone number. Escalated to field team.
COL10132,APP10554,Apex Recovery Agency,2025-10-04,33490.89,Repossession Pending,Digital Reminder,,,Pending,7,2025-09-28,Asset recovery team assigned for asset repossession proceedings.
COL10133,APP11286,Zenith Financial Recovery,2024-10-30,56729.99,Contacted,Digital Reminder,,,Pending,2,2024-10-28,Customer contacted via Digital Reminder. Payment request sent.
COL10134,APP11208,Meenakshi Sundaram (Legal Agent),2025-11-26,321169.87,Legal Action Initiated,WhatsApp Bot,,,Rejected,5,2025-11-19,Section 25 / NI Act 138 legal notice issued for persistent loan default.
COL10135,APP10219,Meenakshi Sundaram (Legal Agent),2025-12-17,233565.6,Contacted,Digital Reminder,,,Pending,12,2025-12-14,Customer contacted via Digital Reminder. Payment request sent.
COL10136,APP10740,Zenith Financial Recovery,2025-07-31,17275.19,Unreachable,Field Visit,,,Pending,12,2025-07-30,Borrower unreachable on registered phone number. Escalated to field team.
COL10137,APP10262,Vanguard Legal & Recovery Services,2025-09-29,34098.36,Repossession Pending,Legal Notice,,,Pending,2,2025-09-28,Asset recovery team assigned for asset repossession proceedings.
COL10138,APP11091,Anita Roy (Internal),2024-10-12,59913.78,Contacted,Digital Reminder,,,Pending,9,2024-10-12,Customer contacted via Digital Reminder. Payment request sent.
COL10139,APP11729,Suresh Kumar (Field Specialist),2025-08-08,14178.29,Repossession Pending,Legal Notice,,,Pending,12,2025-08-08,Asset recovery team assigned for asset repossession proceedings.
COL10140,APP10943,Meenakshi Sundaram (Legal Agent),2024-11-06,59544.46,Settled,Legal Notice,2024-10-29,43023.25,Full Settlement,11,2024-10-30,Loan settled at ₹43023.25 under Full Settlement arrangement.
COL10141,APP11981,Prudence Resolution Services,2025-12-27,531606.45,Settled,Tele-calling,2025-12-12,422552.13,Waived Off,10,2025-12-18,Loan settled at ₹422552.13 under Waived Off arrangement.
COL10142,APP11234,Rajesh Sharma (Internal),2025-05-14,19906.5,Settled,Field Visit,2025-05-07,15889.61,Full Settlement,6,2025-05-14,Loan settled at ₹15889.61 under Full Settlement arrangement.
COL10143,APP12744,Anita Roy (Internal),2025-11-26,311132.75,Repossession Pending,Field Visit,,,Pending,4,2025-11-20,Asset recovery team assigned for asset repossession proceedings.
COL10144,APP10607,Zenith Financial Recovery,2026-01-03,25047.64,Promise to Pay,Legal Notice,2026-01-07,,Pending,10,2026-01-02,Borrower promised to pay ₹25047.64 by 2026-01-07.
COL10145,APP10916,Vikramaditya Singh (Internal),2025-08-09,23560.93,Contacted,WhatsApp Bot,,,Pending,8,2025-07-31,Customer contacted via WhatsApp Bot. Payment request sent.
COL10146,APP12042,Vanguard Legal & Recovery Services,2025-08-15,19580.57,Promise to Pay,Legal Notice,2025-09-02,,Pending,2,2025-08-11,Borrower promised to pay ₹19580.57 by 2025-09-02.
